English,Type,Episodes,Status,Start_Aired,End_Aired,Premiered,Studios,Source,Genres,Demographics,Score,Popularity,Favorites
Unknown,Movie,1,Finished Airing,"Aug 11, 2012",Not Available,Unknown,Studio Comet,Original,Fantasy,Shoujo,6.051,10987,2
Unknown,Movie,1,Finished Airing,1968,Not Available,Unknown,Unknown,Original,Comedy,Unknown,4.301,10988,1
Unknown,OVA,2,Finished Airing,"Dec 28, 2014",Not Available,Unknown,J.C.Staff,Game,Unknown,Unknown,5.921,10989,1
Balala the Fairies Finding Melody,TV,52,Finished Airing,"Jan 26, 2015","Aug 26, 2015",Winter 2015,Unknown,Unknown,Comedy,Shoujo,6.051,10990,3
Unknown,OVA,2,Finished Airing,"Mar 8, 1996","May 24, 1996",Unknown,AIC,Manga,"Drama, Romance, Hentai",Unknown,5.561,10991,4
Unknown,ONA,39,Finished Airing,"Apr 16, 2015","Mar 10, 2016",Unknown,Haoliners Animation League,Web manga,"Action, Comedy, Horror",Unknown,6.031,10992,2
Gloria,OVA,3,Finished Airing,"Nov 28, 1997","Apr 24, 1998",Unknown,Triple X,Visual novel,"Drama, Mystery, Romance, Hentai",Unknown,5.401,10994,1
Unknown,Music,2,Finished Airing,"Apr 20, 2011",Not Available,Unknown,Unknown,Original,Unknown,Unknown,5.551,10995,0
Good-bye Elvis and USA,Movie,1,Finished Airing,1971,Not Available,Unknown,Unknown,Original,Avant Garde,Unknown,2.961,10997,0
Unknown,Special,3,Finished Airing,Oct 2016,Dec 2016,Unknown,Unknown,Other,Comedy,Unknown,6.091,10998,1
Burglars of Baghdad Castle,Movie,1,Finished Airing,"Oct 6, 1926",Not Available,Unknown,Unknown,Original,"Adventure, Romance",Unknown,5.001,10999,3
The Green Cat,OVA,1,Finished Airing,Jul 1989,Not Available,Unknown,Tezuka Productions,Manga,Mystery,Unknown,5.381,11000,0
Unknown,Movie,1,Finished Airing,"Mar 7, 1998",Not Available,Unknown,Shin-Ei Animation,Unknown,Fantasy,Unknown,6.401,11001,0
The Flying House,TV,52,Finished Airing,"Apr 5, 1982","Mar 28, 1983",Spring 1982,Tatsunoko Production,Original,"Adventure, Sci-Fi",Unknown,6.231,11002,7
Unknown,TV,36,Finished Airing,"Mar 26, 2011",Dec 2011,Spring 2011,Alpha Animation,Unknown,Comedy,Shoujo,5.871,11003,3
Mission of Darkness,OVA,1,Finished Airing,"Sep 1, 1997",Not Available,Unknown,Momoi Planning,Unknown,Hentai,Unknown,5.041,11004,1
Route 20 Galactic Airport,Special,1,Finished Airing,"Aug 28, 1991",Not Available,Unknown,Gainax,Original,Sci-Fi,Unknown,5.561,11005,0
Unknown,Special,4,Finished Airing,"Nov 27, 2008","Feb 25, 2009",Unknown,Arms,Original,"Action, Ecchi",Unknown,5.051,11007,0
Unknown,TV,12,Finished Airing,"Aug 9, 2009","Sep 19, 2009",Summer 2009,Robot Communications,Unknown,"Comedy, Sci-Fi, Slice of Life",Unknown,5.451,11008,0
Unknown,Special,1,Finished Airing,"Aug 25, 2012",Not Available,Unknown,Unknown,Unknown,Sports,Unknown,6.021,11009,0
Unknown,TV,3,Finished Airing,"Apr 7, 2013","Apr 21, 2013",Spring 2013,DLE,Manga,Comedy,Unknown,5.401,11010,0
Unknown,Movie,1,Finished Airing,"Dec 18, 2010",Not Available,Unknown,Comma Studio,Book,Comedy,Unknown,6.941,11011,2
Unknown,Special,2,Finished Airing,"Jun 6, 2007","Aug 1, 2007",Unknown,Gonzo,Other,"Action, Comedy, Ecchi",Shounen,5.951,11012,0
Unknown,Special,1,Finished Airing,2008,Not Available,Unknown,Yumeta Company,Visual novel,"Comedy, Fantasy",Shoujo,6.561,11013,3
Unknown,OVA,4,Finished Airing,"Nov 21, 1991","Dec 21, 1991",Unknown,Studio Deen,Original,Fantasy,Unknown,5.831,11014,1
Space Warrior Baldios,Movie,1,Finished Airing,"Dec 29, 1981",Not Available,Unknown,Unknown,Unknown,"Action, Sci-Fi",Unknown,6.301,11016,3
Unknown,TV,5,Finished Airing,"Nov 5, 2010","Dec 3, 2010",Fall 2010,Gathering,Original,Comedy,Unknown,5.561,11018,1
Unknown,TV,51,Finished Airing,"Oct 4, 1991","Sep 25, 1992",Fall 1991,Gallop,Original,"Action, Comedy, Sci-Fi",Unknown,6.741,11020,4
Unknown,TV,29,Finished Airing,"Sep 3, 1968","Mar 25, 1969",Fall 1968,Unknown,Manga,Action,Shounen,6.801,11020,5
Unknown,TV,26,Finished Airing,"Apr 4, 2004","Jul 18, 2004",Spring 2004,Unknown,Unknown,"Adventure, Fantasy, Slice of Life","Kids, Shoujo",6.371,11021,5
Fables of the Green Forest,TV,52,Finished Airing,"Jan 7, 1973","Dec 30, 1973",Winter 1973,Nippon Animation,Unknown,"Adventure, Fantasy",Kids,6.041,11021,3
Unknown,Music,1,Finished Airing,"Feb 10, 2022",Not Available,Unknown,Unknown,Game,Unknown,Kids,7.041,11022,26
Unknown,Special,1,Finished Airing,"Apr 7, 2010",Not Available,Unknown,A-1 Pictures,Unknown,Comedy,Unknown,5.501,11023,0
Fantascience World Gulliver Boy,TV,50,Finished Airing,"Jan 8, 1995","Dec 24, 1995",Winter 1995,Toei Animation,Unknown,"Action, Adventure, Fantasy",Unknown,6.411,11024,3
Unknown,OVA,1,Finished Airing,"Oct 28, 1984",Not Available,Unknown,Pierrot,Original,"Comedy, Fantasy, Romance",Shoujo,6.241,11025,0
Aquatic,Movie,1,Finished Airing,1987,Not Available,Unknown,Unknown,Unknown,"Avant Garde, Comedy",Unknown,4.951,11027,0
Unknown,Movie,1,Finished Airing,"Mar 10, 2001",Not Available,Unknown,Shin-Ei Animation,Unknown,"Adventure, Comedy, Fantasy, Sci-Fi","Kids, Shounen",6.421,11028,0
Unknown,OVA,1,Finished Airing,1992,Not Available,Unknown,Madhouse,Novel,"Adventure, Drama, Mystery, Supernatural",Unknown,6.511,11028,0
High Speed Jessie,OVA,12,Finished Airing,"Sep 5, 1989","Mar 5, 1990",Unknown,Pierrot,Light novel,"Action, Sci-Fi",Unknown,6.021,11029,1
Unknown,OVA,1,Finished Airing,"Mar 25, 1995",Not Available,Unknown,OLM,Game,Comedy,Shounen,5.601,11031,1
Princess Army Wedding Combat,OVA,2,Finished Airing,"Aug 1, 1992","Sep 21, 1992",Unknown,J.C.Staff,Manga,"Action, Romance",Shoujo,4.981,11033,2
Unknown,TV,143,Finished Airing,"Oct 12, 2009","Sep 3, 2012",Fall 2009,OLM Digital,Game,Comedy,Kids,6.301,11034,10
Unknown,OVA,1,Finished Airing,"Dec 5, 1986",Not Available,Unknown,Unknown,Original,"Adventure, Comedy",Unknown,5.281,11035,4
The Three Musketeers Aramis the Adventure,Movie,1,Finished Airing,"Mar 11, 1989",Not Available,Unknown,Gallop,Novel,"Adventure, Romance",Unknown,6.571,11035,2
Unknown,ONA,3,Finished Airing,"Mar 13, 2021","Mar 15, 2021",Unknown,Pierrot,Other,Comedy,Unknown,5.901,11036,9
The Bat,Movie,1,Finished Airing,Jan 1930,Not Available,Unknown,Unknown,Original,Drama,Unknown,5.391,11038,1
Unknown,OVA,1,Finished Airing,Jan-21,Not Available,Unknown,Bouncy,Original,Comedy,Unknown,5.681,11039,0
The Legend of Jade Sword,ONA,19,Finished Airing,"Apr 4, 2015","Aug 8, 2015",Unknown,Unknown,Novel,"Action, Adventure, Fantasy",Unknown,5.741,11039,2
Maiden of Deliverance,OVA,2,Finished Airing,"Nov 26, 2000","Feb 16, 2001",Unknown,Unknown,Visual novel,Hentai,Unknown,5.471,11040,2
Unknown,TV,55,Finished Airing,"Jul 21, 1989","Aug 31, 1990",Summer 1989,Tatsunoko Production,Unknown,"Adventure, Comedy, Drama",Unknown,6.691,11042,1
Unknown,Movie,1,Finished Airing,"Aug 15, 2003",Not Available,Unknown,"Toei Animation, OLM Digital",Unknown,"Action, Sci-Fi",Unknown,5.251,11043,1
Unknown,OVA,1,Finished Airing,1991,Not Available,Unknown,Unknown,Game,Comedy,Kids,5.171,11043,5
Joe vs Joe,OVA,6,Finished Airing,"May 25, 2003","Sep 25, 2003",Unknown,Office AO,Unknown,Sports,Shounen,5.711,11045,3
"Dr. Slump and Arale-chan Hoyoyo, Great Round-the-World Race",Movie,1,Finished Airing,"Mar 13, 1983",Not Available,Unknown,Toei Animation,Manga,"Comedy, Sci-Fi",Shounen,6.201,11048,0
Unknown,Special,1,Finished Airing,"Jun 4, 2008",Not Available,Unknown,Shaft,4-koma manga,"Comedy, Slice of Life",Unknown,6.311,11049,0
Tournament of the Gods Title Match,OVA,3,Finished Airing,"Dec 19, 1997","Jun 27, 1998",Unknown,AIC,Visual novel,"Adventure, Fantasy, Romance, Hentai",Unknown,5.661,11049,1
Unknown,OVA,1,Finished Airing,"May 9, 1987",Not Available,Unknown,AIC,Unknown,"Comedy, Ecchi",Unknown,4.431,11050,3
Unknown,TV,26,Finished Airing,"Apr 6, 2003","Sep 28, 2003",Spring 2003,Trans Arts,Original,"Action, Adventure, Sci-Fi",Unknown,5.461,11050,1
Unknown,TV,50,Finished Airing,"Jul 3, 2010","Jul 2, 2011",Summer 2010,"Studio Deen, DAX Production",Manga,"Comedy, Slice of Life",Unknown,7.001,11051,1
Unknown,Movie,1,Finished Airing,"Mar 20, 1996",Not Available,Unknown,Triangle Staff,Unknown,"Drama, Slice of Life",Unknown,6.581,11053,3
Unknown,TV,1471,Finished Airing,"Jan 7, 1976","Sep 3, 1994",Winter 1976,Group TAC,Unknown,Fantasy,Unknown,6.031,11053,2
The Island of Siliang,ONA,15,Finished Airing,"Jun 14, 2021","Sep 13, 2021",Unknown,Wulifang Digital,Original,"Action, Fantasy",Unknown,7.431,11055,28
Undersea Super Train Marine Express,Special,1,Finished Airing,"Aug 26, 1979",Not Available,Unknown,Tezuka Productions,Unknown,"Action, Adventure, Comedy, Drama, Sci-Fi",Unknown,6.141,11056,2
Unknown,ONA,12,Finished Airing,"Jul 20, 2017","Oct 5, 2017",Unknown,Haoliners Animation League,Novel,Fantasy,Unknown,6.491,11057,1
Invincible King Tri-Zenon,TV,22,Finished Airing,"Oct 14, 2000","Mar 17, 2001",Fall 2000,E&G Films,Unknown,Sci-Fi,Unknown,6.191,11058,0
Unknown,ONA,8,Finished Airing,"Jul 20, 2018",Not Available,Unknown,Bandai Namco Pictures,Game,"Comedy, Fantasy",Unknown,6.171,11059,0
Unknown,Special,3,Finished Airing,"Oct 6, 2015","Oct 20, 2015",Unknown,Unknown,Manga,Comedy,Shoujo,5.811,11060,2
Idol of Darkness,OVA,1,Finished Airing,"Jul 2, 1997",Not Available,Unknown,PP Project,Original,Hentai,Unknown,4.661,11061,1
Yadamon Magical Dreamer,TV,170,Finished Airing,"Aug 24, 1992","Jul 16, 1993",Summer 1992,Group TAC,Unknown,"Adventure, Comedy, Fantasy",Unknown,6.761,11061,5
Fate/kaleid liner Prisma Illya Licht Nameless Girl Mini Anime,ONA,3,Finished Airing,"Aug 20, 2021",Not Available,Unknown,SILVER LINK.,Manga,Comedy,Unknown,5.351,11062,0
Unknown,OVA,1,Finished Airing,"Jan 23, 1993",Not Available,Unknown,Unknown,Unknown,Action,Unknown,6.231,11064,3
Unknown,Movie,1,Finished Airing,"Jul 21, 1975",Not Available,Unknown,Toei Animation,Manga,"Action, Romance",Unknown,5.601,11065,1
That's Why I Gave Up on Music,Music,1,Finished Airing,"Apr 5, 2019",Not Available,Unknown,Unknown,Original,Slice of Life,Unknown,7.041,11066,2
Unknown,ONA,3,Finished Airing,"Nov 1, 2017","Jan 31, 2018",Unknown,Unknown,Manga,Comedy,Josei,6.461,11066,2
The Senior Class,Movie,1,Finished Airing,"Dec 29, 2016",Not Available,Unknown,Studio Dadashow,Unknown,Unknown,Unknown,5.671,11068,1
Unknown,ONA,1,Finished Airing,"Mar 9, 2012",Not Available,Unknown,Unknown,Original,Comedy,Unknown,5.981,11069,5
Great Yamato No. 0,OVA,5,Finished Airing,"Mar 31, 2004","Jun 15, 2007",Unknown,JCF,Original,Sci-Fi,Unknown,5.701,11069,1
Dekobo the Big Head's Road Trip,Movie,1,Finished Airing,1934,Not Available,Unknown,Unknown,Original,Adventure,Unknown,4.091,11070,1
Unknown,Special,1,Finished Airing,"May 24, 2019",Not Available,Unknown,Unknown,Original,"Action, Fantasy",Unknown,6.161,11072,2
The Life of Guskou Budori,Movie,1,Finished Airing,"Jul 16, 1994",Not Available,Unknown,Animaruya,Novel,Drama,Unknown,6.271,11072,0
Unknown,TV,24,Finished Airing,"Dec 6, 2016","May 16, 2017",Winter 2017,Unknown,Other,Comedy,Unknown,4.481,11074,1
Unknown,OVA,3,Finished Airing,"Oct 1, 1990",Not Available,Unknown,Unknown,Unknown,"Action, Fantasy",Unknown,5.661,11075,0
Unknown,ONA,1,Finished Airing,"Nov 25, 2015",Not Available,Unknown,Unknown,Original,Unknown,Unknown,4.801,11076,0
Unknown,TV,6,Finished Airing,"Sep 22, 2017","Aug 14, 2019",Fall 2017,DLE,Original,Comedy,Unknown,5.351,11077,5
Unknown,OVA,2,Finished Airing,"Aug 26, 2005","Nov 25, 2005",Unknown,PPM,Original,Sci-Fi,Unknown,5.371,11078,0
Shooting Star Gakusaver,OVA,6,Finished Airing,"Aug 21, 1993","Mar 24, 1994",Unknown,Production I.G,Original,"Action, Comedy, Sci-Fi",Unknown,6.371,11079,1
Space Pirate Mito 2,TV,13,Finished Airing,"Jul 13, 1999","Oct 5, 1999",Summer 1999,Triangle Staff,Original,"Action, Comedy, Sci-Fi",Unknown,5.981,11080,1
Unknown,OVA,1,Finished Airing,"Aug 29, 2014",Not Available,Unknown,Lerche,Original,Slice of Life,Kids,6.041,11081,2
Unknown,ONA,10,Finished Airing,"Oct 15, 2012","Oct 26, 2012",Unknown,Unknown,Manga,Comedy,Unknown,4.961,11081,3
Unknown,Movie,1,Finished Airing,1981,Not Available,Unknown,Unknown,Unknown,Supernatural,Unknown,5.891,11083,2
Unknown,Movie,1,Finished Airing,"Nov 8, 2019",Not Available,Unknown,Fanworks,Other,Comedy,Unknown,6.821,11084,10
Bottom Biting Bug,TV,20,Finished Airing,"Oct 7, 2012","Feb 24, 2013",Fall 2012,Kinema Citrus,Music,Comedy,Kids,5.051,11085,0
Cat City,OVA,1,Finished Airing,"Aug 1, 2006",Not Available,Unknown,Toei Video,Unknown,"Fantasy, Horror",Unknown,6.121,11086,3
Unknown,OVA,3,Finished Airing,"Sep 29, 2007","Feb 22, 2008",Unknown,Studio 9 Maiami,Original,Hentai,Unknown,5.701,11087,0
Unknown,OVA,3,Finished Airing,"Nov 21, 1989","Aug 24, 1990",Unknown,Knack Productions,Manga,Comedy,Seinen,5.441,11088,1
E.Y.E.S. of Mars,Movie,1,Finished Airing,"Dec 26, 1993",Not Available,Unknown,Toei Animation,Unknown,"Adventure, Drama, Sci-Fi",Unknown,5.461,11090,8
Unknown,ONA,30,Finished Airing,"Sep 11, 2020","Mar 2, 2021",Unknown,"Tezuka Productions, AQUA ARIS",Light novel,Comedy,Unknown,5.741,11090,0
Dr. Slump and Arale-chan N-cha! From Penguin Village with Love,Movie,1,Finished Airing,"Jul 10, 1993",Not Available,Unknown,Toei Animation,Manga,"Comedy, Sci-Fi",Shounen,6.141,11091,0
Unknown,TV,6,Finished Airing,"Apr 10, 2011","Jun 12, 2011",Spring 2011,Toei Animation,Manga,Sports,Unknown,6.321,11091,2
The Laws of Eternity,Movie,1,Finished Airing,"Sep 30, 2006",Not Available,Unknown,Group TAC,Original,"Fantasy, Sci-Fi",Unknown,5.141,11092,4
Unknown,ONA,1,Finished Airing,May-04,Not Available,Unknown,Unknown,Original,"Comedy, Slice of Life",Unknown,5.391,11094,0
Unknown,TV,26,Finished Airing,"Apr 6, 1994","Sep 28, 1994",Spring 1994,Unknown,Unknown,"Adventure, Fantasy",Kids,5.901,11095,5
Unknown,OVA,3,Finished Airing,"Feb 22, 2002","Jul 26, 2002",Unknown,AIC,Visual novel,Hentai,Unknown,5.851,11095,0
Unknown,Music,1,Finished Airing,"Mar 11, 2014",Not Available,Unknown,Unknown,Original,Unknown,Unknown,5.971,11096,1
The Tiny One Makes It Big,Movie,1,Finished Airing,1929,Not Available,Unknown,Unknown,Original,Supernatural,Unknown,4.461,11097,1
After School Midnighters,Movie,1,Finished Airing,"Aug 25, 2012",Not Available,Unknown,Unknown,Unknown,Fantasy,Kids,6.171,11100,0
That is an UFO! The Flying Saucer,Movie,1,Finished Airing,"Mar 21, 1975",Not Available,Unknown,Toei Animation,Original,Sci-Fi,Unknown,4.721,11100,1
Fight!! Ramenman,TV,35,Finished Airing,"Jan 10, 1988","Sep 11, 1988",Winter 1988,Toei Animation,Unknown,"Action, Adventure",Shounen,6.231,11101,5
Unknown,OVA,2,Finished Airing,"Feb 2, 2004","Apr 21, 2004",Unknown,Shura,Visual novel,Hentai,Unknown,5.361,11103,1
Unknown,OVA,1,Finished Airing,"Jul 24, 1992",Not Available,Unknown,Unknown,Unknown,"Action, Adventure, Drama",Unknown,5.631,11104,1
Karate Master,TV,47,Finished Airing,"Oct 3, 1973","Sep 25, 1974",Fall 1973,TMS Entertainment,Manga,"Adventure, Sports",Unknown,6.461,11105,3
Lovely Movie Lovely Muuuuuuuco!,TV,20,Finished Airing,"Jul 29, 2013","Dec 23, 2013",Summer 2013,Doga Kobo,Manga,Slice of Life,Unknown,6.371,11106,0
Christmas in January,OVA,1,Finished Airing,"Nov 21, 1991",Not Available,Unknown,Magic Bus,Manga,"Drama, Romance",Unknown,5.361,11106,1
Unknown,ONA,1,Finished Airing,"Feb 26, 2021",Not Available,Unknown,Poly Animation,Original,Hentai,Unknown,5.211,11107,4
The Sprites of Floria,ONA,1,Finished Airing,"Sep 1, 2018",Not Available,Unknown,"Yokohama Animation Lab, Arvo Animation",Game,"Action, Adventure, Drama, Fantasy",Unknown,5.111,11109,0
Diamond Daydreams Special,Special,1,Finished Airing,"Aug 18, 2004",Not Available,Unknown,Unknown,Visual novel,"Drama, Slice of Life",Unknown,6.151,11110,0
Dream Hazard,OVA,1,Finished Airing,"Feb 25, 1998",Not Available,Unknown,J.T.P.P.,Manga,Hentai,Unknown,4.601,11111,1
Unknown,OVA,2,Finished Airing,"Oct 25, 1996","Jun 27, 1997",Unknown,AIC,Manga,Hentai,Unknown,5.161,11111,5
Dr. Slump Dr. Mashirito and Abale-chan,Movie,1,Finished Airing,"Mar 3, 2007",Not Available,Unknown,Toei Animation,Manga,"Comedy, Sci-Fi",Shounen,5.971,11113,0
Lesson of Darkness,OVA,1,Finished Airing,"Nov 29, 1996",Not Available,Unknown,PP Project,Unknown,Hentai,Unknown,5.231,11114,2
Unknown,ONA,1,Finished Airing,"May 9, 2010",Not Available,Unknown,Unknown,Original,"Comedy, Slice of Life",Unknown,4.521,11115,0
Unknown,ONA,1,Finished Airing,"Aug 2, 2016",Not Available,Unknown,Trigger,Original,Slice of Life,Unknown,5.261,11117,2
Unknown,ONA,1,Finished Airing,"Jul 3, 2013",Not Available,Unknown,Unknown,Original,"Avant Garde, Fantasy",Unknown,5.051,11118,1
Unknown,OVA,1,Finished Airing,"Jul 9, 1991",Not Available,Unknown,Kyoto Animation,Novel,Fantasy,Unknown,4.891,11119,0
Unknown,Special,4,Finished Airing,"Feb 24, 2012",Not Available,Unknown,Sunrise,Original,"Adventure, Fantasy, Romance",Unknown,6.151,11120,5
Unknown,TV,16,Finished Airing,"Jan 5, 1999","Jan 29, 1999",Winter 1999,Studio Deen,Unknown,"Comedy, Romance",Unknown,5.981,11121,4
Unknown,Special,1,Finished Airing,"Jul 3, 2021",Not Available,Unknown,J.C.Staff,Game,Unknown,Unknown,5.661,11121,6
Unknown,OVA,6,Finished Airing,"Dec 17, 1992","Jun 21, 1993",Unknown,J.C.Staff,Manga,"Action, Sci-Fi",Unknown,5.171,11122,2
Unknown,Special,11,Finished Airing,"Jan 25, 2007","Sep 21, 2007",Unknown,Xebec,Manga,Comedy,Unknown,5.901,11124,0
Unknown,Movie,1,Finished Airing,"Dec 19, 1998",Not Available,Unknown,Unknown,Unknown,"Action, Adventure, Sci-Fi",Unknown,6.061,11127,1
Unknown,OVA,1,Finished Airing,"Mar 1, 1988",Not Available,Unknown,Toei Animation,Game,"Adventure, Comedy, Fantasy",Unknown,5.191,11127,0
Mirage of Blaze Recap,Special,1,Finished Airing,"Feb 4, 2002",Not Available,Unknown,Madhouse,Light novel,"Action, Boys Love, Drama, Supernatural",Unknown,6.121,11128,3
Dream Dimension Gentleman,OVA,1,Finished Airing,"Feb 21, 1987",Not Available,Unknown,Gallop,Manga,"Fantasy, Horror, Mystery",Unknown,5.511,11128,0
Unknown,Music,1,Finished Airing,1999,Not Available,Unknown,Mook Animation,Music,"Action, Sci-Fi",Unknown,6.151,11129,4
The Fleet of the Rising Sun,OVA,15,Finished Airing,"Feb 21, 1997",2002,Unknown,J.C.Staff,Unknown,"Action, Drama",Unknown,6.261,11132,3
Unknown,OVA,1,Finished Airing,"May 31, 2015",Not Available,Unknown,Studio A-CAT,Other,Unknown,Unknown,4.891,11132,0
Cinderella Nine The Story Continues,Special,1,Finished Airing,"Sep 25, 2021",Not Available,Unknown,TMS Entertainment,Game,Sports,Unknown,6.361,11133,5
Unknown,Special,1,Finished Airing,1987,Not Available,Unknown,Unknown,Unknown,"Action, Comedy, Hentai",Unknown,4.731,11133,5
Angie Girl,TV,26,Finished Airing,"Dec 13, 1977","Jun 27, 1978",Winter 1978,"Nippon Animation, Production Reed",Original,Mystery,Shoujo,6.341,11136,6
Unknown,OVA,1,Finished Airing,"Jul 7, 1990",Not Available,Unknown,Toei Animation,Unknown,"Adventure, Comedy",Unknown,5.501,11137,0
Unknown,OVA,2,Finished Airing,"Feb 28, 1997","Jun 27, 1997",Unknown,Triple X,Visual novel,Hentai,Unknown,4.881,11138,2
Unknown,ONA,15,Finished Airing,"Sep 17, 2014","Dec 24, 2014",Unknown,Unknown,4-koma manga,Comedy,Unknown,6.031,11138,1
Unknown,ONA,10,Finished Airing,"Jan 9, 2021","Mar 13, 2021",Unknown,Unknown,Novel,Comedy,Unknown,5.221,11139,2
Colorful Ninja Iromaki,Movie,1,Finished Airing,"Mar 19, 2016",Not Available,Unknown,Signal.MD,Original,Fantasy,Unknown,5.901,11140,0
Zillion Burning Night,OVA,1,Finished Airing,"Jun 21, 1988",Not Available,Unknown,Production I.G,Mixed media,"Adventure, Sci-Fi",Unknown,5.711,11141,1
Unknown,Movie,1,Finished Airing,"Jun 6, 2015",Not Available,Unknown,Unknown,Picture book,"Adventure, Fantasy",Kids,6.241,11142,2
Tokyo Pig,TV,61,Finished Airing,"Jul 3, 1997","Sep 29, 1998",Summer 1997,Unknown,Picture book,Comedy,Unknown,6.431,11143,7
Unknown,Special,1,Finished Airing,Mar 1998,Not Available,Unknown,Unknown,Manga,"Action, Mystery",Shounen,5.721,11145,1
Unknown,OVA,1,Finished Airing,"Nov 21, 1991",Not Available,Unknown,animate Film,Manga,"Action, Fantasy",Shounen,6.301,11146,5
Unknown,Music,1,Finished Airing,"Aug 17, 2011",Not Available,Unknown,Unknown,Original,Unknown,Unknown,5.781,11147,0
Unknown,Music,1,Finished Airing,"Dec 16, 2019",Not Available,Unknown,ufotable,Music,Unknown,Unknown,6.811,11148,3
Unknown,OVA,1,Finished Airing,"Jan 21, 1986",Not Available,Unknown,Studio Bogey,Original,"Action, Adventure, Fantasy",Unknown,4.781,11149,1
Oscar's Oasis,TV,78,Finished Airing,"Feb 28, 2011","Jun 15, 2011",Winter 2011,TUBA,Unknown,Comedy,Unknown,6.351,11150,5
Unknown,TV,13,Finished Airing,"Oct 31, 2002","Feb 6, 2003",Fall 2002,"Plum, Studio Guts",Manga,Sci-Fi,Shounen,5.501,11152,1
Momotaro's Underwater Adventure,Movie,1,Finished Airing,"Jan 26, 1932",Not Available,Unknown,Unknown,Original,Unknown,Unknown,4.641,11153,0
Unknown,OVA,3,Finished Airing,2000,Not Available,Unknown,Group TAC,Other,"Avant Garde, Horror",Unknown,5.881,11154,2
Unknown,ONA,1,Finished Airing,"Oct 26, 2019",Not Available,Unknown,Kinema Citrus,Game,Unknown,Unknown,6.351,11156,2
Little Women,TV,26,Finished Airing,"Apr 7, 1981","Sep 29, 1981",Spring 1981,Toei Animation,Novel,"Drama, Slice of Life",Unknown,6.391,11157,2
Unknown,ONA,1,Finished Airing,"Aug 13, 2013",Not Available,Unknown,Unknown,Original,Drama,Unknown,6.471,11158,1
Unknown,ONA,1,Finished Airing,"Dec 29, 2013",Not Available,Unknown,Unknown,Other,Unknown,Unknown,5.241,11159,0
A Feather Stare at the Dark,Movie,1,Finished Airing,2003,Not Available,Unknown,Unknown,Original,Avant Garde,Unknown,4.861,11159,9
The Call of the Wild,Special,1,Finished Airing,"Jan 3, 1981",Not Available,Unknown,Toei Animation,Novel,"Adventure, Drama",Unknown,6.451,11161,3
A Portrait Of Jianghu Bad Guys,ONA,54,Finished Airing,"Jul 31, 2014","Aug 27, 2015",Unknown,Unknown,Original,"Adventure, Drama, Romance",Unknown,6.381,11162,6
Unknown,OVA,1,Finished Airing,"Jul 16, 1993",Not Available,Unknown,Tezuka Productions,Manga,"Fantasy, Romance",Unknown,5.931,11164,1
Unknown,OVA,1,Finished Airing,"Mar 10, 1985",Not Available,Unknown,Unknown,Unknown,"Girls Love, Hentai",Unknown,4.841,11164,3
Unknown,Special,3,Finished Airing,"Sep 22, 2006",Not Available,Unknown,Unknown,Unknown,"Action, Fantasy, Sci-Fi",Unknown,6.371,11165,4
Unknown,ONA,1,Finished Airing,2003,Not Available,Unknown,Unknown,Original,Erotica,Unknown,5.141,11166,0
Locke the Superman Lord Leon,OVA,3,Finished Airing,"Oct 25, 1989","Dec 16, 1989",Unknown,Nippon Animation,Manga,"Action, Sci-Fi",Unknown,6.041,11167,2
Unknown,TV,77,Finished Airing,"Jan 10, 1986","Oct 3, 1987",Winter 1986,Nippon Animation,Picture book,"Adventure, Sci-Fi",Unknown,7.201,11169,11
Unknown,Special,1,Finished Airing,"Mar 1, 2008",Not Available,Unknown,Sunrise,Unknown,"Action, Comedy",Shounen,6.501,11170,2
Unknown,TV,25,Finished Airing,"Apr 3, 1971","Sep 25, 1971",Spring 1971,Tatsunoko Production,Unknown,Unknown,Unknown,6.331,11170,6
The White Whale of Mu,TV,26,Finished Airing,"Apr 4, 1980","Sep 26, 1980",Spring 1980,Unknown,Original,"Action, Fantasy, Sci-Fi",Unknown,6.331,11172,2
Danemon's Monster Hunt at Shojoji,Movie,1,Finished Airing,1935,Not Available,Unknown,Unknown,Original,Supernatural,Unknown,5.091,11173,1
Unknown,Movie,1,Finished Airing,1974,Not Available,Unknown,Kuri Jikken Manga Kobo,Original,Comedy,Unknown,3.751,11175,1
Unknown,TV,52,Finished Airing,"Apr 6, 1993","Mar 29, 1994",Spring 1993,Sunrise,Original,"Sci-Fi, Sports",Shounen,7.091,11176,15
Trouble in Monster Strike,ONA,1,Finished Airing,"Jun 22, 2018",Not Available,Unknown,"Anima, ILCA, Marza Animation Planet, XFLAG Pictures",Game,"Action, Fantasy",Unknown,5.641,11177,0
Unknown,OVA,1,Finished Airing,"Jun 18, 1993",Not Available,Unknown,J.C.Staff,Unknown,"Action, Fantasy, Supernatural",Unknown,4.801,11178,1
Unknown,ONA,12,Finished Airing,"Apr 27, 2019","Jul 13, 2019",Unknown,Green Monster Team,Web manga,"Comedy, Slice of Life, Supernatural",Unknown,6.121,11180,2
Unknown,ONA,3,Finished Airing,"Feb 13, 2021","Feb 15, 2021",Unknown,Pierrot,Other,Comedy,Unknown,5.941,11180,5
Unknown,Movie,1,Finished Airing,"Aug 3, 1993",Not Available,Unknown,Unknown,Book,"Fantasy, Horror, Supernatural",Unknown,5.421,11181,0
